CAS,refid,ref,hcdat_raw
62484-16-6,108123,"Mao, Yongjun; Lin, Nan; Tian, Wang; Han, Xiaofeng; Han, Xiaobing; Huang, Ziwei; An, Jing Journal of Medicinal Chemistry, 2012 , vol. 55, # 3 p. 1346 - 1359","[{""casId"": ""2941-78-8"", ""ZWM"": ""2-氨基-5-甲基苯甲酸"", ""img"": ""https://image.chemsrc.com/caspic/125/2941-78-8.png"", ""href"": ""/cas/2941-78-8_1195456.html""}, {""casId"": ""57-13-6"", ""ZWM"": ""尿素"", ""img"": ""https://image.chemsrc.com/caspic/306/57-13-6.png"", ""href"": ""/cas/57-13-6_895102.html""}, {""casId"": """", ""ZWM"": ""~87%"", ""img"": """", ""href"": """"}, {""casId"": ""62484-16-6"", ""ZWM"": ""6-甲基喹唑啉-2,4-二酮"", ""img"": ""https://image.chemsrc.com/caspic/075/62484-16-6.png"", ""href"": ""/cas/62484-16-6_17.html""}]"
62484-16-6,3303,"Yadav; Reddy, B.V. Subba; Reddy, U.V. Subba; Praneeth Tetrahedron Letters, 2008 , vol. 49, # 32 p. 4742 - 4745","[{""casId"": ""608-05-9"", ""ZWM"": ""5-甲基靛红"", ""img"": ""https://image.chemsrc.com/caspic/060/608-05-9.png"", ""href"": ""/cas/608-05-9_834120.html""}, {""casId"": """", ""ZWM"": ""~72%"", ""img"": """", ""href"": """"}, {""casId"": ""62484-16-6"", ""ZWM"": ""6-甲基喹唑啉-2,4-二酮"", ""img"": ""https://image.chemsrc.com/caspic/075/62484-16-6.png"", ""href"": ""/cas/62484-16-6_17.html""}]"
62484-16-6,226641,"Jiarong, Li; Xian, Chen; Daxin, Shi; Shuling, Ma; Qing, Li; Qi, Zhang; Jianhong, Tang Organic Letters, 2009 , vol. 11, # 6 p. 1193 - 1196","[{""casId"": ""5925-93-9"", ""ZWM"": ""2-氨基-5-甲基苯腈"", ""img"": ""https://image.chemsrc.com/caspic/052/5925-93-9.png"", ""href"": ""/cas/5925-93-9_342300.html""}, {""casId"": ""68-12-2"", ""ZWM"": ""N,N-二甲基甲酰胺"", ""img"": ""https://image.chemsrc.com/caspic/377/68-12-2.png"", ""href"": ""/cas/68-12-2_401675.html""}, {""casId"": """", ""ZWM"": ""~90%"", ""img"": """", ""href"": """"}, {""casId"": ""62484-16-6"", ""ZWM"": ""6-甲基喹唑啉-2,4-二酮"", ""img"": ""https://image.chemsrc.com/caspic/075/62484-16-6.png"", ""href"": ""/cas/62484-16-6_17.html""}]"
62484-16-6,1327,"Kimura, Toshihiro; Sunaba, Hanako; Kamata, Keigo; Mizuno, Noritaka Inorganic Chemistry, 2012 , vol. 51, # 23 p. 13001 - 13008","[{""casId"": ""5925-93-9"", ""ZWM"": ""2-氨基-5-甲基苯腈"", ""img"": ""https://image.chemsrc.com/caspic/052/5925-93-9.png"", ""href"": ""/cas/5925-93-9_342300.html""}, {""casId"": ""124-38-9"", ""ZWM"": ""二氧化碳"", ""img"": ""https://image.chemsrc.com/caspic/195/124-38-9.png"", ""href"": ""/cas/124-38-9_583739.html""}, {""casId"": """", ""ZWM"": ""~91%"", ""img"": """", ""href"": """"}, {""casId"": ""62484-16-6"", ""ZWM"": ""6-甲基喹唑啉-2,4-二酮"", ""img"": ""https://image.chemsrc.com/caspic/075/62484-16-6.png"", ""href"": ""/cas/62484-16-6_17.html""}]"
62484-16-6,356084,"Lalezari, Iraj; Stein, C. A. Journal of Heterocyclic Chemistry, 1984 , vol. 21, # 1 p. 5 - 7","[{""casId"": ""85474-13-1"", ""ZWM"": ""6-methyl-3-amino-2,4(1H,3H)-quinazolinedione"", ""img"": ""https://image.chemsrc.com/caspic/199/85474-13-1.png"", ""href"": ""/cas/85474-13-1_1094960.html""}, {""casId"": """", ""ZWM"": ""~88%"", ""img"": """", ""href"": """"}, {""casId"": ""62484-16-6"", ""ZWM"": ""6-甲基喹唑啉-2,4-二酮"", ""img"": ""https://image.chemsrc.com/caspic/075/62484-16-6.png"", ""href"": ""/cas/62484-16-6_17.html""}]"
62484-16-6,226641,"Jiarong, Li; Xian, Chen; Daxin, Shi; Shuling, Ma; Qing, Li; Qi, Zhang; Jianhong, Tang Organic Letters, 2009 , vol. 11, # 6 p. 1193 - 1196","[{""casId"": ""617-84-5"", ""ZWM"": ""N,N-二乙基甲酰胺"", ""img"": ""https://image.chemsrc.com/caspic/453/617-84-5.png"", ""href"": ""/cas/617-84-5_578495.html""}, {""casId"": ""5925-93-9"", ""ZWM"": ""2-氨基-5-甲基苯腈"", ""img"": ""https://image.chemsrc.com/caspic/052/5925-93-9.png"", ""href"": ""/cas/5925-93-9_342300.html""}, {""casId"": """", ""ZWM"": ""~18%"", ""img"": """", ""href"": """"}, {""casId"": ""62484-16-6"", ""ZWM"": ""6-甲基喹唑啉-2,4-二酮"", ""img"": ""https://image.chemsrc.com/caspic/075/62484-16-6.png"", ""href"": ""/cas/62484-16-6_17.html""}]"
848691-22-5,0,"Anadys Pharmaceuticals, Inc. Patent: US2007/117979 A1, 2007 ; Location in patent: Page/Page column 4 ;","[{""casId"": ""892498-86-1"", ""ZWM"": ""5-amino-3H-thiazolo[4,5-d]pyrimidine-2-thione"", ""img"": ""https://image.chemsrc.com/caspic/377/892498-86-1.png"", ""href"": ""/cas/892498-86-1_1230644.html""}, {""casId"": """", ""ZWM"": ""~66%"", ""img"": """", ""href"": """"}, {""casId"": ""848691-22-5"", ""ZWM"": ""5-氨基噻唑并[4,5-d]嘧啶-2(3H)-酮"", ""img"": ""https://image.chemsrc.com/caspic/447/848691-22-5.png"", ""href"": ""/cas/848691-22-5_27.html""}]"
848691-22-5,200052,"Xiang, Alan X.; Webber, Stephen E.; Kerr, Bradley M.; Rueden, Erik J.; Lennox, Joseph R.; Haley, Gregory J.; Wang, Tingmin; Ng, John S.; Herbert, Mark R.; Clark, David L.; Banh, Virginia N.; Li, Wei; Fletcher, Simon P.; Steffy, Kevin R.; Bartkowski, Darian M.; Kirkovsky, Leonid I.; Bauman, Lisa A.; Averett, Devron R. Nucleosides, Nucleotides and Nucleic Acids, 2007 , vol. 26, # 6-7 p. 635 - 640","[{""casId"": ""55359-96-1"", ""ZWM"": ""4-氯-2,3-二氢-2-氧代-5-噻唑甲醛"", ""img"": ""https://image.chemsrc.com/caspic/279/55359-96-1.png"", ""href"": ""/cas/55359-96-1_847446.html""}, {""casId"": ""50-01-1"", ""ZWM"": ""盐酸胍"", ""img"": ""https://image.chemsrc.com/caspic/031/50-01-1.png"", ""href"": ""/cas/50-01-1_1091739.html""}, {""casId"": """", ""ZWM"": ""~47%"", ""img"": """", ""href"": """"}, {""casId"": ""848691-22-5"", ""ZWM"": ""5-氨基噻唑并[4,5-d]嘧啶-2(3H)-酮"", ""img"": ""https://image.chemsrc.com/caspic/447/848691-22-5.png"", ""href"": ""/cas/848691-22-5_27.html""}]"
25957-58-8,0,"Hilbert et al. Journal of the American Chemical Society, 1935 , vol. 57, p. 552","[{""casId"": ""20461-60-3"", ""ZWM"": ""2,4-二乙氧基嘧啶"", ""img"": ""https://image.chemsrc.com/caspic/392/20461-60-3.png"", ""href"": ""/cas/20461-60-3_245199.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""6220-43-5"", ""ZWM"": ""2(1H)-Pyrimidinone, 4-ethoxy- (6CI,7CI,8CI,9CI)"", ""img"": ""https://image.chemsrc.com/caspic/214/6220-43-5.png"", ""href"": ""/cas/6220-43-5_300421.html""}, {""casId"": ""25957-58-8"", ""ZWM"": ""2-乙氧基嘧啶-4-醇"", ""img"": ""https://image.chemsrc.com/caspic/379/25957-58-8.png"", ""href"": ""/cas/25957-58-8_29.html""}]"
908128-94-9,536173,"Hotchkiss, David J.; Kato, Atsushi; Odell, Barbara; Claridge, Timothy D.W.; Fleet, George W.J. Tetrahedron Asymmetry, 2007 , vol. 18, # 4 p. 500 - 512","[{""casId"": ""23709-41-3"", ""ZWM"": ""2,3-O-异丙亚基-2-C-甲基-D-核糖酸-gamma-内酯"", ""img"": ""https://image.chemsrc.com/caspic/305/23709-41-3.png"", ""href"": ""/cas/23709-41-3_684494.html""}, {""casId"": ""124-63-0"", ""ZWM"": ""甲基磺酰氯"", ""img"": ""https://image.chemsrc.com/caspic/254/124-63-0.png"", ""href"": ""/cas/124-63-0_1153456.html""}, {""casId"": """", ""ZWM"": ""~98%"", ""img"": """", ""href"": """"}, {""casId"": ""908128-94-9"", ""ZWM"": ""5-O-甲基磺酰基-2,3-O-异丙亚基-2-C-甲基-D-核糖酸-gamma-内酯"", ""img"": ""https://image.chemsrc.com/caspic/370/908128-94-9.png"", ""href"": ""/cas/908128-94-9_32.html""}]"
908128-94-9,220394,"Dukhan; Bosc; Peyronnet; Storer; Gosselin Nucleosides, Nucleotides and Nucleic Acids, 2005 , vol. 24, # 5-7 p. 577 - 580","[{""casId"": ""492-30-8"", ""ZWM"": ""2-C-甲基-D-核糖酸-1,4-内酯"", ""img"": ""https://image.chemsrc.com/caspic/384/492-30-8.png"", ""href"": ""/cas/492-30-8_1148874.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""908128-94-9"", ""ZWM"": ""5-O-甲基磺酰基-2,3-O-异丙亚基-2-C-甲基-D-核糖酸-gamma-内酯"", ""img"": ""https://image.chemsrc.com/caspic/370/908128-94-9.png"", ""href"": ""/cas/908128-94-9_32.html""}]"
50440-88-5,364237,"Chien, Tun-Cheng; Chen, Chien-Shu; Yu, Fang-Hwa; Chern, Ji-Wang Chemical and Pharmaceutical Bulletin, 2004 , vol. 52, # 12 p. 1422 - 1426","[{""casId"": ""28144-70-9"", ""ZWM"": ""Benzenecarboximidic acid, 2-amino- (9CI)"", ""img"": ""https://image.chemsrc.com/caspic/051/28144-70-9.png"", ""href"": ""/cas/28144-70-9_151334.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""50440-88-5"", ""ZWM"": ""4-氨基-2-羟基喹唑啉"", ""img"": ""https://image.chemsrc.com/caspic/136/50440-88-5.png"", ""href"": ""/cas/50440-88-5_35.html""}]"
82439-87-0,0,"Sumitomo Chemical Company, Limited Patent: US4464531 A1, 1984 ;","[{""casId"": ""93512-83-5"", ""ZWM"": ""2-[(4-nitrophenyl)methylamino]propanediamide"", ""img"": ""https://image.chemsrc.com/caspic/108/93512-83-5.png"", ""href"": ""/cas/93512-83-5_630246.html""}, {""casId"": ""122-51-0"", ""ZWM"": ""原甲酸三乙酯"", ""img"": ""https://image.chemsrc.com/caspic/239/122-51-0.png"", ""href"": ""/cas/122-51-0_829020.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""82439-87-0"", ""ZWM"": ""1-(4-硝基苄基)-4-羟基-1H-咪唑-5-羧酰胺"", ""img"": ""https://image.chemsrc.com/caspic/499/82439-87-0.png"", ""href"": ""/cas/82439-87-0_37.html""}]"
103626-36-4,206497,"Kallitsakis, Michael G.; Hadjipavlou-Litina, Dimitra J.; Peperidou, Aikaterini; Litinas, Konstantinos E. Tetrahedron Letters, 2014 , vol. 55, # 3 p. 650 - 653","[{""casId"": ""87-42-3"", ""ZWM"": ""6-氯嘌呤"", ""img"": ""https://image.chemsrc.com/caspic/462/87-42-3.png"", ""href"": ""/cas/87-42-3_895198.html""}, {""casId"": ""1003-03-8"", ""ZWM"": ""环戊胺"", ""img"": ""https://image.chemsrc.com/caspic/493/1003-03-8.png"", ""href"": ""/cas/1003-03-8_161585.html""}, {""casId"": """", ""ZWM"": ""~87%"", ""img"": """", ""href"": """"}, {""casId"": ""103626-36-4"", ""ZWM"": ""9H-嘌呤-6-胺, n-环戊基-"", ""img"": ""https://image.chemsrc.com/caspic/029/103626-36-4.png"", ""href"": ""/cas/103626-36-4_49.html""}]"
14731-24-9,0,"Giri,S.; Singh,H. Journal of the Indian Chemical Society, 1967 , vol. 44, # 2 p. 145 - 147","[{""casId"": ""75-15-0"", ""ZWM"": ""二硫化碳"", ""img"": ""https://image.chemsrc.com/caspic/486/75-15-0.png"", ""href"": ""/cas/75-15-0_336228.html""}, {""casId"": ""330-94-9"", ""ZWM"": ""4-(4-氟苯)-3-氨基硫脲"", ""img"": ""https://image.chemsrc.com/caspic/048/330-94-9.png"", ""href"": ""/cas/330-94-9_405825.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""14731-24-9"", ""ZWM"": ""5-[(4-氟苯基)氨基]-1,3,4-噻二唑-2-硫醇"", ""img"": ""https://image.chemsrc.com/caspic/489/14731-24-9.png"", ""href"": ""/cas/14731-24-9_53.html""}]"
705-02-2,314955,"Cabiddu, S.; Fattuoni, C.; Floris, C.; Gelli, G.; Melis, S. Journal of Organometallic Chemistry, 1991 , vol. 419, # 1 p. 1 - 8","[{""casId"": ""2557-78-0"", ""ZWM"": ""2-氟苯硫酚"", ""img"": ""https://image.chemsrc.com/caspic/160/2557-78-0.png"", ""href"": ""/cas/2557-78-0_171578.html""}, {""casId"": ""79-11-8"", ""ZWM"": ""氯乙酸"", ""img"": ""https://image.chemsrc.com/caspic/254/79-11-8.png"", ""href"": ""/cas/79-11-8_951882.html""}, {""casId"": """", ""ZWM"": ""~85%"", ""img"": """", ""href"": """"}, {""casId"": ""705-02-2"", ""ZWM"": ""(2-氟苯基)硫代]乙酸"", ""img"": ""https://image.chemsrc.com/caspic/256/705-02-2.png"", ""href"": ""/cas/705-02-2_55.html""}]"
705-02-2,95260,"Yildirir, Y.; Okay, G. Organic Preparations and Procedures International, 1991 , vol. 23, # 2 p. 198 - 200","[{""casId"": ""348-54-9"", ""ZWM"": ""邻氟苯胺"", ""img"": ""https://image.chemsrc.com/caspic/273/348-54-9.png"", ""href"": ""/cas/348-54-9_402101.html""}, {""casId"": ""68-11-1"", ""ZWM"": ""硫代乙醇酸(TGA)"", ""img"": ""https://image.chemsrc.com/caspic/415/68-11-1.png"", ""href"": ""/cas/68-11-1_515370.html""}, {""casId"": """", ""ZWM"": ""~34%"", ""img"": """", ""href"": """"}, {""casId"": ""705-02-2"", ""ZWM"": ""(2-氟苯基)硫代]乙酸"", ""img"": ""https://image.chemsrc.com/caspic/256/705-02-2.png"", ""href"": ""/cas/705-02-2_55.html""}]"
705-02-2,314955,"Cabiddu, S.; Fattuoni, C.; Floris, C.; Gelli, G.; Melis, S. Journal of Organometallic Chemistry, 1991 , vol. 419, # 1 p. 1 - 8","[{""casId"": ""124-38-9"", ""ZWM"": ""二氧化碳"", ""img"": ""https://image.chemsrc.com/caspic/195/124-38-9.png"", ""href"": ""/cas/124-38-9_583739.html""}, {""casId"": ""655-20-9"", ""ZWM"": ""2-氟茴香硫醚"", ""img"": ""https://image.chemsrc.com/caspic/493/655-20-9.png"", ""href"": ""/cas/655-20-9_78087.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""705-02-2"", ""ZWM"": ""(2-氟苯基)硫代]乙酸"", ""img"": ""https://image.chemsrc.com/caspic/256/705-02-2.png"", ""href"": ""/cas/705-02-2_55.html""}]"
705-02-2,95261,"Disli, Ali; Yildirir, Yilmaz Organic Preparations and Procedures International, 1998 , vol. 30, # 3 p. 349 - 352","[{""casId"": ""348-54-9"", ""ZWM"": ""邻氟苯胺"", ""img"": ""https://image.chemsrc.com/caspic/273/348-54-9.png"", ""href"": ""/cas/348-54-9_402101.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""705-02-2"", ""ZWM"": ""(2-氟苯基)硫代]乙酸"", ""img"": ""https://image.chemsrc.com/caspic/256/705-02-2.png"", ""href"": ""/cas/705-02-2_55.html""}]"
141068-81-7,0,"Thomas, Richard Charles; Poel, Toni-Jo; Barbachyn, Michael Robert; Gordeev, Mikhail Fedor; Luehr, Gary W.; Renslo, Adam; Singh, Upinder; Josyula, Vara Prasad Venkata Nagendra Patent: US2004/147760 A1, 2004 ; Location in patent: Page 68 ;","[{""casId"": ""141068-80-6"", ""ZWM"": ""4-甲基-7-硝基-2H-苯并[b] [1,4]恶嗪-3(4H)-酮"", ""img"": ""https://image.chemsrc.com/caspic/142/141068-80-6.png"", ""href"": ""/cas/141068-80-6_8883.html""}, {""casId"": """", ""ZWM"": ""~98%"", ""img"": """", ""href"": """"}, {""casId"": ""141068-81-7"", ""ZWM"": ""7-氨基-4-甲基-1,4-苯并恶嗪-3-酮"", ""img"": ""https://image.chemsrc.com/caspic/104/141068-81-7.png"", ""href"": ""/cas/141068-81-7_73.html""}]"
102185-28-4,201221,"Tetrahedron Letters, , vol. 37, # 44 p. 7921 - 7924","[{""casId"": ""21064-69-7"", ""ZWM"": ""O-(对硝基苯基磷酰)胆碱"", ""img"": ""https://image.chemsrc.com/caspic/287/21064-69-7.png"", ""href"": ""/cas/21064-69-7_588697.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""102185-28-4"", ""ZWM"": ""4-氨基苯基磷酰氯"", ""img"": ""https://image.chemsrc.com/caspic/383/102185-28-4.png"", ""href"": ""/cas/102185-28-4_74.html""}]"
102185-28-4,201221,"Tetrahedron Letters, , vol. 37, # 44 p. 7921 - 7924","[{""casId"": ""777-52-6"", ""ZWM"": ""4-硝基苯二氯化磷"", ""img"": ""https://image.chemsrc.com/caspic/488/777-52-6.png"", ""href"": ""/cas/777-52-6_598715.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""102185-28-4"", ""ZWM"": ""4-氨基苯基磷酰氯"", ""img"": ""https://image.chemsrc.com/caspic/383/102185-28-4.png"", ""href"": ""/cas/102185-28-4_74.html""}]"
102185-28-4,201221,"Tetrahedron Letters, , vol. 37, # 44 p. 7921 - 7924","[{""casId"": ""17773-10-3"", ""ZWM"": ""碘化胆碱"", ""img"": ""https://image.chemsrc.com/caspic/485/17773-10-3.png"", ""href"": ""/cas/17773-10-3_1103526.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""102185-28-4"", ""ZWM"": ""4-氨基苯基磷酰氯"", ""img"": ""https://image.chemsrc.com/caspic/383/102185-28-4.png"", ""href"": ""/cas/102185-28-4_74.html""}]"
39544-74-6,443,"Burdick, Daniel J.; Marsters Jr., James C.; Aliagas-Martin, Ignacio; Stanley, Mark; Beresini, Maureen; Clark, Kevin; McDowell, Robert S.; Gadek, Thomas R. Bioorganic and Medicinal Chemistry Letters, 2004 , vol. 14, # 9 p. 2055 - 2059","[{""casId"": ""74-11-3"", ""ZWM"": ""对氯苯甲酸"", ""img"": ""https://image.chemsrc.com/caspic/494/74-11-3.png"", ""href"": ""/cas/74-11-3_1084285.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""39544-74-6"", ""ZWM"": ""苯并曲普"", ""img"": ""https://image.chemsrc.com/caspic/468/39544-74-6.png"", ""href"": ""/cas/39544-74-6_77.html""}]"
